Name	Platform No.	Track No.
Gdańsk Wrzeszcz	1	4
Gdańsk Wrzeszcz	1	2
Gdańsk Wrzeszcz	2	1
Gdańsk Wrzeszcz	2	3
Gdynia Chylonia	2	2
Gdynia Chylonia	2	1
Gdynia Chylonia	3	3
Gdynia Główna	2	1
Gdynia Główna	2	2
Gdynia Główna	3	4
Gdynia Główna	3	5
Gdynia Główna	4	7
Gdynia Główna	4	6
Gdynia Główna	5	9
Gdynia Główna	5	10
Gdynia Karwiny	1	101
Gdynia Karwiny	2	12
Gdynia Orłowo	2	2
Gdynia Orłowo	2	1
Gdynia Stadion	1	101
Gdynia Stadion	2	102
Geniusze	1	1
Gębarzewo	1	2
Gębarzewo	2	1
Gierałtów	1	1
Gierałtów Wykroty	1	3
Gierałtów Wykroty	2	1
Gierwaty	1	1
Gierwaty	1	2
Gilów	1	1
Giżycko	2	4
Giżycko	2	2
Gliniczek	1	1
Gliniszcze	1	1
Glinnik	1	3
Glinnik	2	1
Glinnik Wieś	1	1
Gliwice	1	4
Gliwice	1	3
Gliwice	2	6
Gliwice	2	5
Gliwice	3	8
Gliwice	3	7
Gliwice	4	11
Gliwice	4	9
Gliwice Kuźnica	1	1
Gliwice Kuźnica	2	2
Gliwice Łabędy	1	2
Gliwice Łabędy	1	1
Gliwice Łabędy	2	2 Płn
Głębokie Międzyrzeckie	1	1
Głogów	1	16
Głogów	1	18
Głogów	2	2
Głogów	2	4
Głogów	3	1
Głogów	4	5
Głogów	4	7
Głogów Huta	1	1
Głogów Huta	2	2
Głogów Małopolski	1	1
Głogów Małopolski	1	2
Głogów Małopolski Niwa	1	1
Głogów Małopolski Południowy	1	1
Głogów Wróblin	1	2
Głogów Wróblin	2	2
Głogówek	1	1
Głogówek	2	2
Głogówko	2	1
Głowaczewo	1	1
Głowno	1	2
Głowno	2	1
Głowno Północne	1	1
Głuchołazy	1	1
Głuchołazy	2	2
Głuchołazy	2	6
Głuchołazy Miasto	1	1
Głuchowo	1	1
Głuchów	1	1
Głuchów	2	2
Głuszyca	1	1
Głuszyca	2	2
Głuszyca Górna	1	2
Głuszyca Górna	2	1
Głuszyno Pomorskie	1	1
Gniewczyna	1	1
Gniewkowo	1	2
Gniewkowo	2	1
Gniewkowo	2	3
Gniezno	1	4
Gniezno	1a	70
Gniezno	2	1
Gniezno	2	2
Gniezno	3	9
Gniezno	3	7
Gniezno Winiary	1	1
Gniezno Winiary	2	2
Gniezno Winiary	3	4
Goczałkowice	1	1
Goczałkowice	2	2
Goczałkowice-Zdrój	1	1
Goczałkowice-Zdrój	2	2
Goczałków	1	1
Godętowo	1	1
Godętowo	1	3
Godki	1	1
Godków	1	2
Godków	2	1
Godków	2	3
Gogolewo	1	1
Gogolewo	2	2
Gogolin	1	1p
Gogolin	2	2p
Gogolin	2	6p
Goleniów	1	2
Goleniów	2	1
Goleniów	2	3
Goleniów Park Przemysłowy	1	1
Goleniów Park Przemysłowy	2	2
Goleszów	1	1
Goleszów	1	2
Goleszów	2	3
Goleszów	2	5
Goleszów Górny	1	1
Golęczewo	1	1
Golęczewo	2	2
Golina	1	1
Goliszów	1	1
Gołańcz	1	3
Gołańcz	2	1
Gołańcz	2	2
Gołaszewo Kujawskie	1	1
Gołaszewo Kujawskie	2	2
Gołąb	1	1
Gołąb	2	2
Gołotczyzna	1	1
Gołotczyzna	2	2
Gomunice	1	1
Gomunice	2	2
Goniądz	1	1
Gorlice	1	5
Gorlice Glinik	1	1
Gorlice Zagórzany	1	7
Gorlice Zagórzany	2	1
Gorlice Zagórzany	2	2
Gorzanów	1	1
Gorzanów	2	2
Gorzelin	1	1
Gorzędów	1	1
Gorzędów	2	2
Gorzkowice	1	2
Gorzkowice	1	1
Gorzów Chrzanowski	1	1
Gorzów Chrzanowski	2	2
Gorzów Wielkopolski	1	2
Gorzów Wielkopolski	1	1
Gorzów Wielkopolski	2	4
Gorzów Wielkopolski	4	51
Gorzów Wielkopolski	4	53
Gorzów Wielkopolski Karnin	1	1
Gorzów Wielkopolski Wieprzyce	1	1
Gorzów Wielkopolski Wieprzyce	2	2
Gorzów Wielkopolski Wschodni	1	102
Gorzów Wielkopolski Zamoście	1	1
Gorzów Wielkopolski Zieleniec	1	1
Gorzów Wielkopolski Zieleniec	2	1
Gorzów Wielkopolski Zieleniec	2	2
Gorzuchowo Chełmińskie	1	1
Gorzuchów Kłodzki	1	2
Gorzupia	1	1
Gorzupia	2	2
Gostynin	1	4
Gostynin	2	1
Gostynin	2	2
Goszcza	1	2
Goszcza	1	1
Goszczowice	1	1
Gościcino Wejherowskie	1	2
Gościcino Wejherowskie	2	1
Gościszewo	1	1
Gośniewice	1	1
Gośniewice	2	2
Goświnowice	1	1
Goświnowice	2	2
Goworowo	1	1
Gozdowo	1	1
Góra Kalwaria	1	1
Góra Kalwaria	1	2
Górażdże	1	1
Górażdże	2	2
Górka Duchowna	1	1
Górka Duchowna	2	2
Górki Noteckie	1	1
Górki Noteckie	2	2
Górki Pomorskie	1	1
Górki Śląskie	1	1
Górki Śląskie	2	2
Górowo	1	2
Górowo	2	2
Górowo	2	1
Górzyca	1	1
Górzyca	2	2
Górzyca Reska	1	1
Górzyniec	1	1
Grabiny	1	1
Grabiny	2	2
Grabniak	1	1
Grabniak	2	2
Grabowno Wielkie	1	1
Grabowno Wielkie	2	1
Grabowo	1	1
Grabowo	1	2
Grabów nad Pilicą	1	1
Grabów nad Pilicą	2	2
Grabów Szlachecki	1	1
Grabów Szlachecki	2	2
Grajewo	1	2
Grajewo	2	1
Grajewo	2	3
Gralewo	1	1
Gralewo	2	4
Gralewo	2	2
Granowiec	1	1
Granowiec	2	3
Granowo	1	3
Granowo	1	1
Grąblewo	1	1
Gregorowce	1	3
Gregorowce	2	1
Gregorowce	2	3
Gregorowce Południowe	1	1
Grębocice	1	1
Grębocice	2	2
Grębocin	1	1
Gręboszów	1	2
Gręboszów	2	1
Grębów	2	1
Grębów	2	2
Grochowiska	1	1
Grodków Śląski	1	1
Grodzie	1	1
Grodzisk Mazowiecki	1	4
Grodzisk Mazowiecki	2	14
Grodzisk Mazowiecki	2	3
Grodzisk Wielkopolski	1	1
Grodzisk Wielkopolski	2	3
Grodzisk Wielkopolski	2	5
Grodzisko Dolne	2	1
Grodzisko Dolne	2	2
Grodziszcze Mazowieckie	1	1
Grodziszcze Mazowieckie	2	2
Grom	1	1
Gromnik	1	3
Gromnik	1	1
Gronajny	1	1
Gronajny	2	2
Gronowo Elbląskie	1	1
Gronowo Elbląskie	2	2
Gronowo Elbląskie	2	1
Groszowice Wrzosów	1	1
Groszowice Wrzosów	2	2
Grotniki	1	1
Gródek	1	1
Grudziądz	1	2
Grudziądz	1	3
Grudziądz	2	4
Grudziądz	2	5
Grudziądz	3	7
Grudziądz	3	6
Grudziądz Mniszek	1	1
Grudziądz Mniszek	1	2
Grudziądz Owczarki	1	1
Grudziądz Owczarki	2	3
Grudziądz Owczarki	2	1
Grudziądz Przedmieście	1	1
Grudziądz Rządz	1	1
Grudziądz Śródmieście	1	1
Grudziądz Tuszewo	1	1
Grupa	1	3
Grupa	2	1
Grybów	1	1
Grybów	1	2
Gryfice	1	2
Gryfice	2	1
Gryfino	1	1
Gryfino	1	2
Gryfino	2	7
Gryfów Śląski	1	1
Gryfów Śląski	1	3
Gryfów Śląski	2	5
Gryfów Śląski	2	7
Grylewo	1	1
Gryźliny	1	1
Grzegorzewo	1	1
Grzędzice	1	1
Grzędzice	2	2
Grzęska	1	1
Grzęska	2	2
Grzmiąca	1	3
Grzmiąca	2	2
Grzmiąca	2	1
Grzybno	1	1
Grzywna	1	1
Gubin	1	2
Gułtowy	1	1
Gułtowy	2	2
Gutowiec	1	2
Gutowiec	2	1
Gutowo Wielkopolskie	1	1
Gutowo Wielkopolskie	2	2
Gwda Mała	2	1
Gzin	1	1
Hajnówka	1	2
Hajnówka	2	1
Hajnówka	3	4
Hajnówka	4	10
Hajnówka	5	10a
Halinów	1	1
Halinów	2	2
Hartowiec	1	1
Hartowiec	2	2
Hel	1	1
Hel	1	4
Hel	2	3
Hel	2	5
Henrykowo	1	1
Henryków	1	3
Henryków	2	1
Herby Nowe	1	2
Herby Nowe	1	1
Herby Nowe	2	2x
Herby Nowe	2	4
Herby Stare	1	103
Herby Stare	2	1
Herby Stare	2	2
Hermanowice	1	1
Hołówki Duże	1	1
Hordzieżka	1	1
Hordzieżka	2	2
Horyniec-Zdrój	1	1
Horyniec-Zdrój	1	3
Hrebenne	1	1
Hrebenne	1	2
Hrubieszów Miasto	1	2
Hrubieszów Miasto	1	1
Hrubieszów Miasto	2	2
Hryniewicze	1	1
Hucisko	1	1
Hurko	1	5
Huta	1	1
Huta	2	2
Huta Komorowska	1	1
Huta Krzeszowska	1	1
Iława Główna	1	2
Iława Główna	1	1
Iława Główna	2	4
Iława Główna	2	5
Iława Główna	3	6
Iława Główna	3	7
Iława Miasto	1	1
Iława Miasto	2	2
Iłowa Żagańska	1	1
Iłowiec	1	1
Iłowiec	2	2
Iłowo	1	1
Iłowo	2	2
Imbramowice	1	2
Imbramowice	2	1
Imielin	1	1
Imielin	1	2
Inowrocław	1	6
Inowrocław	1	8
Inowrocław	2	4
Inowrocław	3	1
Inowrocław	4	3
Inowrocław	4	5
Inowrocław Rąbinek	2	2
Inwałd	1	1
Iwin	1	1
Iwin	2	1
Iwin	2	2
Iwiny	1	1
Iwiny	2	2
Izabelów	1	1
Izabelów	2	2
Izbica	1	1
Jabłonowo Pomorskie	1	1
Jabłonowo Pomorskie	2	4
Jabłonowo Pomorskie	2	2
Jabłonowo Pomorskie	3	6
Jabłonowo Pomorskie	3	8
Jabłoń Kościelna	1	1
Jabłoń Kościelna	2	2
Jackowice	1	4
Jackowice	2	1
Jackowo Dworskie	1	1
Jackowo Dworskie	2	2
Jacków	1	1
Jacków	2	2
Jadachy	1	1
Jadwiżyn	1	1
Jadwiżyn	2	2
Jagodzin	1	1
Jaksice	1	1
Jaksice	1	2
Jaksice	2	3
Jaktorów	1	1
Jaktorów	2	2
Jakubowice	1	2
Jakubowice	2	1
Jakubowice	2	3
Jamielnik	1	1
Jamielnik	2	4
Jamielnik	2	2
Janikowo	1	1
Janikowo	2	1
Janikowo	2	2
Janinów	1	2
Janinów	2	1
Jankowa	1	1
Jankowa Żagańska	1	1
Jankowa Żagańska	2	2
Jankowa Żagańska	4	3
Jankowce	1	1
Jankowo Dolne	1	1
Jankowo Dolne	2	2
Jankowo Pomorskie	1	2
Jankowo Pomorskie	2	1
Janków Przygodzki	1	1
Janków Przygodzki	2	2
Janowice Wielkie	1	2
Janowice Wielkie	2	1
Janówek	1	1
Janówek	2	2
Jarocin	1	21A,21B
Jarocin	1	22
Jarocin	2	6
Jarocin	2	4
Jarocin	3	256
Jarocin	3a	23
Jarosław	1	4
Jarosław	2	1
Jarosław	2	2
Jarosty	1	1
Jarosty	2	2
Jaroszowiec Olkuski	1	1
Jaroszowiec Olkuski	1	2
Jarszewo	1	1
Jarzębia Łąka	1	1
Jarzębiec	1	1
Jasice	1	1
Jasice	2	2
Jasienica Dolna	1	1
Jasienica Mazowiecka	1	1
Jasienica Mazowiecka	2	2
Jasień Brzeski	1	1
Jasień Brzeski	2	2
Jasiona	1	2
Jasiona	2	1
Jasionka Lotnisko	1	1
Jasionka Lotnisko	1	3
Jasionna Łowicka	1	1
Jasionna Łowicka	2	2
Jaski	1	1
Jasło	1	2
Jasło	2	1
Jasło	2	3
Jasło Fabryczne	1	1
Jasło Niegłowice	1	1
Jastarnia	1	1
Jastarnia	1	3
Jastarnia Wczasy	1	1
Jastrowie	1	2
Jastrowie	2	1
Jastrowie	2	3
Jastrowie	3	5
Jastrowie	3	9
Jastrowie Miasto	1	1
Jastrząb	1	3
Jastrząb	2	1
Jastrząb	2	2
Jastrząbka	1	3
Jastrząbka	1	1
Jastrzębie Pomorskie	1	1
Jastrzębna	1	1
Jastrzębna	1	3
Jastrzębsko	1	1
Jastrzębsko	2	2
Jaszczów	1	2
Jaszczów	1	1
Jaśkowice	1	1
Jaśkowice	2	2
Jaśkowice Legnickie	1	1
Jaśkowice Legnickie	2	2
Jaślany	1	1
Jawiszowice Jaźnik	1	1
Jawiszowice Jaźnik	2	2
Jawor	1	1
Jawor	1	2
Jawor	2	3
Jawor	2	5
Jawor	3	2
Jaworzno Ciężkowice	1	1
Jaworzno Ciężkowice	2	2
Jaworzno koło Wielunia	1	1
Jaworzno Szczakowa	2	1
Jaworzno Szczakowa	2	2
Jaworzno Szczakowa	3	4
Jaworzno Szczakowa	3	6
Jaworzyna Śląska	1	8
Jaworzyna Śląska	1	10
Jaworzyna Śląska	2	6
Jaworzyna Śląska	2	4p
Jaworzyna Śląska	3	2p
Jaworzyna Śląska	3	1,1p
Jazy	1	1
Jedlicze	1	3
Jedlicze	2	1
Jedlicze	2	3
Jedlicze koło Zgierza	1	1
Jedlicze Męcinka	1	1
Jedlina-Zdrój	1	
Jedlina-Zdrój	1	1
Jedlina-Zdrój	2	3
Jedlina-Zdrój	2	5
Jedlina-Zdrój Borowa	1	1
Jedlina-Zdrój Centrum	1	1
Jedlnia Kościelna	1	1
Jedlnia Kościelna	2	2
Jedlnia-Letnisko	1	3
Jedlnia-Letnisko	2	1
Jedlnia-Letnisko	2	2
Jeglia	1	1
Jeglia	2	2
Jelcz Miłoszyce	1	1
Jelcz Miłoszyce	1	2
Jelcz-Laskowice	2	1
Jelcz-Laskowice	2	2
Jelcz-Laskowice	3	4
Jelcz-Laskowice	3	6
Jelenia Góra	1	18
Jelenia Góra	1a	6
Jelenia Góra	1b	12
Jelenia Góra	1b	10
Jelenia Góra	2	4
Jelenia Góra	2	2k
Jelenia Góra	3	1k
Jelenia Góra	3	3
Jelenia Góra	4	3
Jelenia Góra	4	5
Jelenia Góra Cieplice	1	1
Jelenia Góra Orle	1	1
Jelenia Góra Przemysłowa	1	1
Jelenia Góra Sobieszów	1	1
Jelenia Góra Sobieszów	2	3
Jelenia Góra Zabobrze	1	2P
Jelenia Góra Zabobrze	2	1
Jelenia Góra Zachodnia	1	2
Jelenia Góra Zachodnia	2	1
Jelenino	1	1
Jelenino	2	1
Jeleń	1	1
Jeleśnia	1	1
Jeleśnia	1	3
Jelna	1	1
Jelna	2	2
Jełowa	1	1
Jeruty	1	1
Jerzmanice Lubuskie	1	1
Jerzmanice Lubuskie	2	2
Jerzmanki	1	3
Jerzmanki	2	1
Jesionka	1	1
Jesionka	2	2
Jesionowiec	1	1
Jezierzany	1	1
Jezierzany	2	2
Jezierzyce Słupskie	1	3
Jezierzyce Słupskie	1	1
Jeziorki Wałeckie	1	1
Jeżewo	1	1
Jeżówka	1	2
Jeżówka	2	1
Jędrzejów	1	1
Jędrzejów	1	2
Jędrzychowice	1	1
Jędrzychowice	2	2
Jonkowo	1	1
Jordanów	1	3
Jordanów	1	1a
Józefin	1	1
Józefin	2	2
Józefów	1	1
Józefów	1	2
Józefów Roztoczański	1	1
Jugowice	1	1
Julianka	1	4
Julianka	2	1
Julianka	2	2
Jurata	1	1
Justynów	1	1
Justynów	2	2
Justynów	3	2
Juszczyn	1	1
Kaczkowo	1	1
Kaczkowo	2	2
Kaczorowo	1	1
Kaczory	1	2
Kaczory	2	1
Kaczyce	1	1
Kaczyce	1	2
Kalembina	1	1
Kalety	1	3
Kalety	2	2
Kalety	2	1
Kaliska	1	2
Kaliska	2	1
Kaliska Kujawskie	1	4
Kaliska Kujawskie	2	2
Kaliska Kujawskie	3	1
Kalisz	1	1
Kalisz	2	1
Kalisz	2	2
Kalisz Kaszubski	1	1
Kalisz Pomorski	1	1
Kalisz Pomorski	1	3
Kalisz Pomorski	2	2
Kalisz Pomorski	2	4
Kalisz Szczypiorno	1	1
Kalisz Szczypiorno	1	2
Kalisz Winiary	1	1
Kalisz Winiary	2	2
Kaliszki	1	1
Kalwaria Zebrzydowska	1	1
Kalwaria Zebrzydowska Lanckorona	1	1
Kalwaria Zebrzydowska Lanckorona	1	3
Kalwaria Zebrzydowska Lanckorona	2	9
Kałęczyn	1	1
Kałęczyn	2	2
Kały	1	1
Kamieniec Ząbkowicki	1	1
Kamieniec Ząbkowicki	2	6
Kamieniec Ząbkowicki	2	2
Kamieniec Ząbkowicki	3	12
Kamieniec Ząbkowicki	3	8
Kamieniec Ząbkowicki	4	18
Kamieniec Ząbkowicki	5	5
Kamienna Góra	1	2
Kamienna Góra	2	1
Kamienna Karczma	1	1
Kamienna Karczma	2	2
Kamienna Nowa	1	1
Kamień Łowicki	1	1
Kamień Mały	1	1
Kamień Mały	2	2
Kamień Pomorski	1	1
Kamień Pomorski	2	3
Kamieńczyce	1	1
Kamieńczyce	2	2
Kamieńsk	1	1
Kamieńsk	2	2
Kamionka Wielka	1	1b
Kamionka Wielka	1	2b
Kamionki Jezioro	1	1
Kamionki Jezioro	2	2
Kanie	1	1
Kanie	1	2
Kaniów	1	1
Kaniów	2	2
Karcino	1	1
Karczyn	1	3
Karczyn	2	1
Karczyn	2	2
Karlino	1	1
Karlino	2	3
Karłowice	1	1
Karłowice	2	2
Karnkowo	1	1
Karolinówka	1	1
Karsin	1	1
Kartuzy	1	4
Kartuzy	2	2
Kartuzy	2	1
Karwice	1	3
Karwice	2	1
Karzec	2	2
Karzec	3	1
Kasina Wielka	1	1
Katowice	1	7
Katowice	1	9
Katowice	2	1
Katowice	2	3
Katowice	3	4
Katowice	3	2
Katowice	4	10
Katowice	4	8
Katowice	5	26
Katowice Brynów	1	1
Katowice Brynów	2	2
Katowice Kostuchna	1	1
Katowice Ligota	1	3
Katowice Ligota	1	5
Katowice Ligota	2	1
Katowice Ligota	2	2
Katowice Murcki	1	1
Katowice Ochojec	1	1
Katowice Piotrowice	1	1
Katowice Piotrowice	2	1
Katowice Piotrowice	3	2
Katowice Podlesie	1	1
Katowice Podlesie	2	2
Katowice Podlesie Dąbrowa	1	1
Katowice Szopienice Południowe	1	2
Katowice Szopienice Południowe	1	1
Katowice Szopienice Południowe	2	2
Katowice Szopienice Południowe	2	1
Katowice Załęże	1	2
Katowice Załęże	1	1
Katowice Zawodzie	1	2
Katowice Zawodzie	1	1
Katowice Zawodzie	2	4
Katowice Zawodzie	2	3
Kawcze	1	1
Kawcze	1	2
Kawnice	1	1
Kawnice	2	2
Kąkolewo	1	5
Kąkolewo	2	3
Kąkolewo	3	1
Kąkolewo	4	2
Kątne	1	1
Kątne	2	2
Kąty Wrocławskie	1	2
Kąty Wrocławskie	2	1
Kędzierzyn-Koźle	1	5
Kędzierzyn-Koźle	1a	22
Kędzierzyn-Koźle	2	1
Kędzierzyn-Koźle	2	3
Kędzierzyn-Koźle	3	2
Kędzierzyn-Koźle	3	4
Kędzierzyn-Koźle	4	6
Kędzierzyn-Koźle	4	8
Kędzierzyn-Koźle Azoty	1	2
Kędzierzyn-Koźle Azoty	2	1
Kędzierzyn-Koźle Przystanek	1	2
Kędzierzyn-Koźle Przystanek	2	1
Kędzierzyn-Koźle Zachodnie	1	2
Kędzierzyn-Koźle Zachodnie	2	1
Kępa	1	1
Kępice	1	2
Kępice	1	1
Kępka	1	1
Kępno	1	2
Kępno	2	3
Kępno	2	1
Kępno	3	2
Kępno	4	1
Kęszyce	1	1
Kęszyce	2	2
Kętrzyn	1	1
Kętrzyn	2	6
Kętrzyn	2	2
Kęty	1	1
Kęty	1	2
Kęty Podlesie	1	1
Kiekrz	1	2
Kiekrz	2	1
Kiekrz	2	3
Kielce Białogon	1	1
Kielce Białogon	2	2
Kielce Główne	1	4
Kielce Główne	1	6
Kielce Główne	2	1
Kielce Główne	2	2
Kielce Główne	3	5
Kielce Główne	3	3
Kielce Herbskie	1	1
Kielce Herbskie	1	2
Kielce Piaski	1	1
Kielce Piaski	2	2
Kielce Słowik	1	1
Kielce Słowik	2	2
Kielce Ślichowice	1	1S
Kielce Ślichowice	2	2S
Kielcza	1	1
Kielcza	2	2
Kielcza	2	4
Kietlanka	1	1
Kietlanka	2	2
Kije	1	1
Kity	1	1
Kity	2	2
Klecza Dolna	1	1
Klecza Górna	1	1
Klembów	1	1
Klembów	2	2
Klementowice	1	1
Klementowice	2	2
Klepacze	1	1
Klepacze	2	2
Kleszczele	1	1
Klewki	1	1
Klęczany	1	1
Klępnica	1	1
Klimontów	1	1
Klimontów	2	2
Kliniska	1	2
Kliniska	2	1a
Kluczbork	1	1płd
Kluczbork	2	2płd
Kluczbork	2	4płd
Kluczbork	3	2wsch
Kluczbork	4	1wsch
Kłaj	1	1
Kłaj	2	2
Kłobuck	1	1
Kłobuck	2	2
Kłodawa	1	3
Kłodawa	1	1
Kłodawa	2	2
Kłodawa	2	4
Kłodzko Główne	5	102
Kłodzko Główne	1	1
Kłodzko Główne	1	5
Kłodzko Główne	2	5
Kłodzko Główne	2	9
Kłodzko Główne	3	6
Kłodzko Główne	3	2
Kłodzko Główne	4	101
Kłodzko Książek	1	1
Kłodzko Miasto	1	2
Kłodzko Miasto	1	1
Kłodzko Miasto	2	3
Kłodzko Miasto	2	5
Kłodzko Zagórze	1	1
Kłokowa	1	1
Kłomnice	1	3
Kłomnice	1	1
Kłomnice	2	2A
Kłudna	1	4
Kłudna	2	2
Kłudna	2	1
Knurów	1	1
Knurów	2	2
Knyszyn	1	3
Knyszyn	2	1
Knyszyn	2	2
Kobierzyce	1	1
Kobierzyce	1	2
Kobiór	1	2
Kobiór	2	1
Kobylany	1	1
Kobylany	2	2
Kobylec	1	1
Kobylin	1	4
Kobylin	2	2
Kobylin	3	1
Kobylnica	1x	1
Kobylnica	1x	2
Kobylnica Słupska	1	1
Kobyłka	1	3W
Kobyłka	1	4W
Kobyłka Ossów	1	3W
Kobyłka Ossów	1	4W
Kochanowice	1	1
Kochanowice	2	2
Kochanówka Pustków	1	3
Kochanówka Pustków	1	1
Kochcice-Glinica	1	1
Kochcice-Glinica	2	2
Kojszówka	1	1
Kokotów	1	1
Kokotów	2	2
Kolbuszowa	1	3
Kolbuszowa	1	1
Kolbuszowa	2	2
Kolbuszowa Górna	1	1
Kolin	1	1
Kolin	2	2
Kolno	1	2
Kolno	2	2
Kolonia	1	1
Kolonowskie	1	1
Kolumna	1	1
Kolumna	2	2
Koluszki	1	3
Koluszki	1	5
Koluszki	2	2
Koluszki	2	1
Koluszki	3	8
Koluszki	3	6
Kołbiel	1	1
Kołbiel	2	2
Koło	1	2,2b
Koło	2	1
Koło	2	3
Kołobrzeg	1	2
Kołobrzeg	1	4
Kołobrzeg	2	3
Kołobrzeg	2	1
Kołobrzeg Amfiteatr	1	1
Kołobrzeg Ogrody	1	1
Kołobrzeg Radzikowo	1	1
Kołobrzeg Stadion	1	1
Kołodziejewo	1	1
Kołodziejewo	2	2
Kołodziejewo	2	4
Komańcza	2	1
Komańcza Letnisko	1	1
Komorowo Żuławskie	1	1
Komorowo Żuławskie	2	2
Komorów Podmurynia	1	1
Komprachcice	1	1
Komprachcice	2	2
Koniecpol	1	5
Koniecpol	2	1
Koniecpol	2	2
Koniecpol Centrum	1	1
Koniecpol Centrum	2	2
Koniecpol Magdasz	1	1
Koniecpol Magdasz	2	2
Konin	1	4
Konin	1	2
Konin	2	1
Konin	2	3
Konin Zachód	1	1
Konin Zachód	2	2
Konin Żagański	1	1
Konojady	1	1
Konopki	1	2
Konopki	2	1
Konopki	2	3
Konotopie	1	1
Kończyce	1	1
Kończyce Radomskie	1	1
Kończyce Radomskie	2	2
Końskie	1	13
Końskie	1	11
Końskowola	1	1
Końskowola	2	2
Kopalina	1	1
Kopalina	2	2
Kornatowo	1	2
Kornatowo	1	1
Kornelin	1	1
Kornelin	2	2
Kornica	1	1
Korsze	1	1k
Korsze	2	107
Korsze	2	107
Korsze	4	2, 2a
Korsze	4	1
Korwinów	1	1
Korwinów	2	2
Korzenica	1	1
Korzeńsko	1	2
Korzeńsko	2	1
Korzybie	1	1
Kosina	1	1
Kosina	2	2
Kosiorki	1	1
Kosiorki	2	2
Kosów	1	1
Kosów	2	2
Kostomłoty	1	1
Kostomłoty	2	2
Kostów	1	1
Kostów	1	2
Kostrzyn	1	2a
Kostrzyn	2	3c.
Kostrzyn	2	1a
Kostrzyn	3	1r
Kostrzyn	3a	3r
Kostrzyn	5	4r
Kostrzyn Wielkopolski	1	3
Kostrzyn Wielkopolski	2	4
Kostrzyn Wielkopolski	2	2
Koszalin	1	1
Koszalin	1	2
Koszalin	2	5
Koszalin	2	3
Koszalin Politechnika	1	1
Koszalin Wschodni	1	1
Koszewnica	1	1
Koszewnica	2	2
Koszęcin	1	1
Koszęcin	2	2
Kościan	1	2b
Kościan	2	3
Kościan	2	1
Kościernica	1	1
Kościerzyna	1	1
Kotlin	1	1
Kotlin	2	2
Kotomierz	1	2
Kotomierz	2	1
Kotomierz	2	2
Kotowo	1	1
Kotórz Mały	1	1
Kotulin	1	1
Kotulin	2	2
Kotuń	1	1
Kotuń	2	2
Kowalewo Pomorskie	1	3
Kowalewo Pomorskie	2	3
Kowalewo Pomorskie	2	1
Kowalewo Pomorskie	3	6
Kowalewo Pomorskie	3	2
Kowalów	1	1
Kowalów	2	2
Kozia Góra	1	1
Koziebrody	1	1
Koziołek	1	1
Kozłowo	1	1
Kozłowo	2	3
Kozłów	1	6
Kozłów	1	4
Kozłów	2	2
Kozłów	2	1
Kozuby	1	1
Kozuby	1	2
Kozy	1	1
Kozy	1	3
Kozy Zagroda	1	1
Koźla Kożuchowska	1	1
Koźlice	1	1
Koźlice	2	2
Koźmin Wielkopolski	1	1
Koźmin Wielkopolski	2	2
Kórnik	1	1
Kórnik	2	2
Krajenka	1	3
Krajenka	2	1
Kraków Batowice	1	3
Kraków Batowice	2	2
Kraków Batowice	2	1
Kraków Bieżanów	1	2
Kraków Bieżanów	1	1
Kraków Bieżanów	2	3
Kraków Bieżanów	3	101
Kraków Bieżanów	4	103
Kraków Bieżanów Drożdżownia	1	1
Kraków Bonarka	1	2
Kraków Bonarka	1	1
Kraków Bonarka	2	6
Kraków Bonarka	2	4
Kraków Bronowice	1	2
Kraków Bronowice	2	1
Kraków Bronowice	3	7c
Kraków Bronowice	4	2
Kraków Główny	1	9
Kraków Główny	1	11
Kraków Główny	2	5x
Kraków Główny	2	3
Kraków Główny	3	1
Kraków Główny	3	2
Kraków Główny	4	4
Kraków Główny	4	8
Kraków Główny	5	10
Kraków Główny	5	12
Kraków Grzegórzki	1	3
Kraków Grzegórzki	2	4
Kraków Kościelniki	1	3
Kraków Kościelniki	2	2
Kraków Lotnisko	1	2cd
Kraków Lotnisko	1	1b,c
Kraków Lubocza	1	1
Kraków Lubocza	1	2
Kraków Łagiewniki	1	101
Kraków Łagiewniki	2	102
Kraków Łobzów	1	303
Kraków Łobzów	1	1
Kraków Łobzów	2	304
Kraków Łobzów	2	2
Kraków Młynówka	1	1
Kraków Młynówka	2	2
Kraków Mydlniki	1	1
Kraków Mydlniki	1	3
Kraków Mydlniki	2	2
Kraków Mydlniki	2	4
Kraków Mydlniki Wapiennik	1	1
Kraków Mydlniki Wapiennik	2	2
Kraków Nowa Huta	1	8
Kraków Olszanica	1	1
Kraków Olszanica	2	2
Kraków Opatkowice	1	1
Kraków Opatkowice	2	2
Kraków Piastów	1	1
Kraków Piastów	2	2
Kraków Piastów	2	2
Kraków Piastów	3	1
Kraków Płaszów	2	1
Kraków Płaszów	2	3
Kraków Płaszów	3	2
Kraków Płaszów	3	4
Kraków Płaszów	4	10
Kraków Podgórze	1	1
Kraków Podgórze	1	2
Kraków Podgórze P2	2	1
Kraków Prokocim	1	1
Kraków Prokocim	2	2
Kraków Przylasek	1	1
Kraków Przylasek	2	2
Kraków Sanktuarium	1	1
Kraków Sanktuarium	2	2
Kraków Sidzina	1	1
Kraków Sidzina	2	2
Kraków Swoszowice	1	1
Kraków Swoszowice	1	2
